id,name,url,title,description,tech stack
19,Google AI Studio,https://ai.studio/apps/bundled/gemini_os,Gemini OS,Simulate a computer with a UI that is generated dynamically from user interactions.,
20,Google AI Studio,https://ai.studio/apps/bundled/mumble_jumble,Mumble Jumble,A playground to discover the range of creative voices that the Gemini native audio out has to offer.,
21,Google AI Studio,https://ai.studio/apps/bundled/live_audio,Live Audio,"Experience real-time voice chat with 3D visuals react to your conversation, bringing AI interaction to life.",
22,Google AI Studio,https://ai.studio/apps/bundled/promptdj,PromptDJ,Steer a continuous stream of music with text prompts,
23,Google AI Studio,https://ai.studio/apps/bundled/promptdj-midi,PromptDJ MIDI,Control real time music with a MIDI controller.,
24,Google AI Studio,https://ai.studio/apps/bundled/thinking_space,Thinking Space,Search a custom set of images using natural language.,
25,Google AI Studio,https://ai.studio/apps/bundled/mcp_maps_3d,MCP Maps 3D,Build Photoreal 3D maps with natural language using a Gemini-powered Agent and MCP tool.,
26,Google AI Studio,https://ai.studio/apps/bundled/chatterbots,ChatterBots,"An interactive tool that allows you to design, test, and banter with custom AI characters on the fly.",
27,Google AI Studio,https://ai.studio/apps/bundled/gemini-dictation,Dictation App,Effortless dictation powered by Gemini. Turn long rambling recordings into perfectly transcribed notes.,
28,Google AI Studio,https://ai.studio/apps/bundled/video-to-learning-app,Video to Learning App,Instantly turn YouTube videos into fun learning apps using AI. Explore concepts visually and learn actively!,
29,Google AI Studio,https://ai.studio/apps/bundled/gemini_95,Gemini 95,Explore a retro OS that brings back nostalgic memories with an AI twist.,
30,Google AI Studio,https://ai.studio/apps/bundled/mcp_maps_basic,MCP Maps Basic,"MCP & Gemini power your global guide! AI answers geo-queries on interactive maps. Explore, discover, and see the world anew.",
31,Google AI Studio,https://ai.studio/apps/bundled/maps_planner,Maps Planner,"Discover amazing places, plan your perfect day trips, and visualize your adventures on an interactive map.",
32,Google AI Studio,https://ai.studio/apps/bundled/p5js_playground,p5js playground,"Your AI creative coding partner for p5.js. Chat to generate interactive art and games, then edit and preview live.",
33,Google AI Studio,https://ai.studio/apps/bundled/flashcard_maker,Flashcard Maker,"Instantly create interactive flashcards for any topic with the power of Gemini! Learn smarter, not harder.",
34,Google AI Studio,https://ai.studio/apps/bundled/video_analyzer,Video Analyzer,"An interactive video player that lets you summarize, describe scenes, extract text, search for objects, and more.",
35,Google AI Studio,https://ai.studio/apps/bundled/spatial-understanding,Spatial Understanding,Unlock Gemini's vision! Detect objects in images or screenshares with interactive 2D/3D bounding boxes and points.,
36,Google AI Studio,https://ai.studio/apps/bundled/maps_explorer,Maps Explorer,Explore places in the world using Gemini and the Google Maps API. Ask Gemini to find you interesting places and more.,
37,Google AI Studio,https://ai.studio/apps/bundled/image-to-code,Image to Code,"Transform images into interactive p5.js code sketches with AI! Generate multiple clever, playful variations and bring your photos to life.",
